dataset_dp,model_dp,model_eo,model_eod
0.03165370746052709,0.03838178421926641,0.0009952353562101557,0.01275415914287216
0.04584861445268873,0.02909464968395159,0.001222837782844599,0.0036021249225471202
0.06008251844208151,0.02935847738454833,0.010821353038603654,0.01798059694542642
0.0743164224314743,0.036388725909195174,0.006770817334126544,0.017039479014077763
0.08851132942363593,0.03265835035254716,0.016344330303338594,0.03308524445178658
0.10274523341302871,0.027657310957401537,0.006687417863481815,0.033327770802376644
0.11697913740242155,0.034100340829375186,0.01164739948564708,0.038825725754775456
0.1312130413918144,0.06046471867510167,0.04203080410942617,0.05287072805976094
0.14540794838397597,0.04622426296457366,0.025895625386571974,0.052612347898688766
0.1596418523733688,0.05617007624566073,0.028928573973006633,0.05323445338292716
0.1738757563627616,0.05238022449407426,0.02881346995835643,0.06325806122300276
0.18810966035215443,0.07224615116289773,0.054146397582649275,0.06978637615621146
0.202304567344316,0.058598807285018595,0.046573987739403466,0.08230349861139168
0.21653847133370885,0.05742199043550661,0.035304953252912386,0.079147607691351
0.23077237532310169,0.0806705849066851,0.08894090257969511,0.10891055585697043
0.24500627931249447,0.07598554393171841,0.08281065951634803,0.10824563985653891
0.2592011863046561,0.08480278215692189,0.06387710189123674,0.09292957213049355
0.2734350902940489,0.0824963234947586,0.0770386385889672,0.10687409072552251
0.2876689942834417,0.1022338441766894,0.09338428759161643,0.10937489642500732
0.30190289827283456,0.10908619575697492,0.10008073329052436,0.11682842105629444
0.31609780526499615,0.11278419946353091,0.10221521793321053,0.11372298186962454
0.3303317092543889,0.1339577206372231,0.15955894842209206,0.14010521424738331
0.34456561324378177,0.14322737943095204,0.1698948258245072,0.14559559750647527
0.3587995172331746,0.16928336517708248,0.20178058146890843,0.15266560254243544
0.3729944242253362,0.15348896071922347,0.20407557970018797,0.16479045433395798
0.387228328214729,0.1689768561571186,0.20492690183029394,0.15647842548385577
0.4014622322041218,0.22507389883725892,0.3063603202387899,0.17984931669815263
0.41569613619351464,0.2215541642850251,0.32633004194218707,0.19995978929403213
0.4298910431856763,0.18253203352454062,0.24163739002492268,0.17541350847269024
0.44412494717506906,0.25879302673913696,0.41261329794549534,0.22987112133128312
