dataset_dp,model_dp,model_eo,model_eod
0.03165370746052709,0.047157561246214175,0.007756306266930468,0.02035852843292041
0.04584861445268873,0.04832723033992303,0.017969711554614243,0.01682108523429239
0.06008251844208151,0.05119398689269017,0.03226116278082136,0.01728125756866815
0.0743164224314743,0.06577451854708916,0.042807536341508357,0.023127278146119812
0.08851132942363593,0.05733693432355125,0.03761646008156594,0.029670010238206257
0.10274523341302871,0.06829373708793479,0.0388721052604023,0.03115166493453045
0.11697913740242155,0.0880014275067188,0.06887908111663132,0.0414961867873371
0.1312130413918144,0.10768200323220628,0.1016106500041547,0.06233889433011494
0.14540794838397597,0.1080746919668496,0.0912792312242352,0.054978739524871784
0.1596418523733688,0.12412883775773376,0.10552005880020043,0.060343012194741946
0.1738757563627616,0.1347831391414433,0.1325206249030717,0.08017242846577011
0.18810966035215443,0.1415044376569547,0.1373385152398432,0.08032249529440667
0.202304567344316,0.16717300776176897,0.18241292682866783,0.10242302696554843
0.21653847133370885,0.16749078139729828,0.17544366951539248,0.10159484912894579
0.23077237532310169,0.20837412592609944,0.2677300205127947,0.14632551566415786
0.24500627931249447,0.21684255896550342,0.2680368933123134,0.1384702268683498
0.2592011863046561,0.2549216464674685,0.30645505063598555,0.16426884743685144
0.2734350902940489,0.27077644052998695,0.36427055134902026,0.1896206432381657
0.2876689942834417,0.2996566523605151,0.3983066050289296,0.21636723885130857
0.30190289827283456,0.31319538138694625,0.41118086952795213,0.22619264917927528
0.31609780526499615,0.33582378554030307,0.4637724621023909,0.25936561470634223
0.3303317092543889,0.3471349714274929,0.4946373307583551,0.27736804841325485
0.34456561324378177,0.3601446904863449,0.5110478433754222,0.28881761703874204
0.3587995172331746,0.3772299230736867,0.5229130469647965,0.30153250053598246
0.3729944242253362,0.3720242111805815,0.5359024801125161,0.30308962394203975
0.387228328214729,0.3776207180149854,0.557005631031309,0.3164691928583169
0.4014622322041218,0.36893663634640733,0.5203582641692169,0.29891061451559003
0.41569613619351464,0.37213487067139994,0.5551219626200627,0.31303936970266266
0.4298910431856763,0.3804735634413561,0.557321329076126,0.3168235366630213
0.44412494717506906,0.3816618918056136,0.5729059220409631,0.32330556248347264
